"id","name","district","pop21","pop22","pop_diff","evol_pop_pct"
2301,"Brig","Brig",27822,28141,319,1.15
2302,"Conthey","Conthey",29856,30178,322,1.08
2303,"Entremont","Entremont",15837,15943,106,0.67
2304,"Goms","Goms",4401,4385,-16,-0.36
2305,"Hérens","Hérens",11123,11188,65,0.58
2306,"Leuk","Leuk",12657,12877,220,1.74
2307,"Martigny","Martigny",49674,50760,1086,2.19
2308,"Monthey","Monthey",48636,49279,643,1.32
2309,"Raron","Raron",11178,11338,160,1.43
2310,"Saint-Maurice","Saint-Maurice",14277,14379,102,0.71
2311,"Sierre","Sierre",50019,50354,335,0.67
2312,"Sion","Sion",49023,49505,482,0.98
2313,"Visp","Visp",28706,28955,249,0.87
