deputation;parti;sieges;sexe;nom;voix
gc;Les Verts;12;;;
gc;PS;20;;;
gc;Indépendant;1;;;
gc;Le Centre;27;;;
gc;Die Mitte;13;;;
gc;NEO;8;;;
gc;PLR;27;;;
gc;UDC;15;;;
gc;SVPO;7;;;
cn;Le Centre;1;M;Sidney Kamerzin;31398
cn;Die Mitte;1;M;Philipp Bregy;28872
cn;Le Centre;1;M;Benjamin Roduit;28575
cn;PLR;1;M;Philippe Nantermod;24443
cn;UDC;1;M;Jean-Luc Addor;20740
cn;SVPO;1;M;Michael Graber;19509
cn;Les Verts;1;M;Christophe Clivaz;17868
cn;PS;1;M;Emmanuel Amoos;15398
ce;Die Mitte;1;M;Beat Rieder;56306
ce;Le Centre;1;F;Marianne Maret;54273
