pays;continent;janvier;fevrier;mars;avril;mai;juin;juillet;aout;septembre;octobre;novembre;decembre
Suisse;Europe;264163;347821;294024;178646;91895;156892;272926;276915;219708;183830;87300;198499
Allemagne;Europe;22843;24175;35268;27748;9502;23132;41479;43813;26031;9815;4742;21060
France;Europe;11608;26566;18121;8532;4862;9864;22287;27107;11453;7904;4517;16745
Italie;Europe;4215;4922;4771;3844;1800;3054;5780;9465;3837;3160;1730;5720
Autriche;Europe;1071;970;1513;1359;1184;2375;4350;5761;2756;877;362;827
Royaume-Uni;Europe;29610;36474;34097;21287;4475;9575;15843;16459;11102;4469;2511;24345
Irlande;Europe;893;1191;1143;633;179;464;764;744;540;259;258;1121
Pays-Bas;Europe;12012;13461;13243;5376;2968;5124;9315;9727;5176;3088;2053;8390
Belgique;Europe;6033;13694;18488;7748;1396;6261;22317;21245;4785;1156;567;12702
Luxembourg;Europe;2130;3619;1226;996;304;291;499;1090;424;104;81;1391
Danemark;Europe;2099;4381;2630;1579;169;411;2140;772;400;251;1114;1957
Suède;Europe;1635;3296;5293;1954;416;831;1878;1052;859;597;380;1459
Norvège;Europe;538;2892;2591;1014;190;429;1919;1237;922;517;341;376
Finlande;Europe;713;1226;1035;830;115;320;1272;869;572;475;235;652
Espagne;Europe;2842;2585;1984;2188;620;1203;3745;5102;1949;1316;640;3247
Portugal;Europe;656;1321;1288;945;233;402;477;679;415;395;325;1292
Grèce;Europe;630;395;827;144;59;109;208;220;62;50;82;1168
Turquie;Europe;338;348;276;36;30;110;425;163;83;83;436;241
Autres Europe;Europe;738;1046;421;229;192;130;431;662;303;264;180;689
Liechtenstein;Europe;123;116;105;123;77;98;190;218;199;113;50;86
Islande;Europe;159;200;158;170;52;96;129;171;246;35;16;44
Pologne;Europe;1212;1549;1000;668;329;764;1532;1412;771;228;236;1076
Hongrie;Europe;323;338;327;179;143;337;692;730;320;174;47;212
Bélarus;Europe;60;65;65;34;6;33;30;120;49;14;18;29
Bulgarie;Europe;122;222;136;101;34;65;350;158;98;87;34;239
Malte;Europe;59;119;62;79;17;55;97;43;63;10;17;108
Chypre;Europe;424;163;190;150;6;24;95;154;8;17;12;578
Chili;Amérique du Sud et centrale;533;56;67;60;40;26;244;54;130;41;21;155
États-Unis;Amérique du Nord;12888;15964;19601;6829;8680;20762;33183;30835;28599;10179;4520;27837
Canada;Amérique du Nord;773;1221;2664;704;587;1509;2891;3797;2936;1454;570;1893
Mexique;Amérique du Sud et centrale;469;431;332;411;97;175;335;448;300;272;181;775
Brésil;Amérique du Sud et centrale;5545;2188;2006;768;520;776;924;733;792;634;641;2195
Argentine;Amérique du Sud et centrale;265;193;265;82;41;62;183;87;108;85;31;136
Autres Amérique du Sud;Amérique du Sud et centrale;1603;457;141;290;83;186;339;236;210;183;78;398
Autres Amérique centrale, Caraïbes;Amérique du Sud et centrale;325;231;174;321;75;207;352;282;360;217;98;479
Égypte;Afrique;204;62;89;6;10;63;86;68;47;25;4;700
Autres Afrique du Nord;Afrique;20;239;124;79;21;38;80;149;38;63;56;240
Afrique du Sud;Afrique;88;254;693;169;89;73;166;223;114;80;65;643
Autres Afrique;Afrique;156;174;188;75;77;62;313;163;297;95;23;432
Bahreïn;Asie;26;30;20;1;16;5;56;102;28;37;10;141
Israël;Asie;235;819;1075;697;188;645;2091;2752;1504;455;116;1073
Inde;Asie;261;273;880;1351;3321;3956;3266;1644;1566;1211;425;1732
Japon;Asie;75;104;256;225;136;662;1589;1848;1443;643;172;548
Autres Asie de l'Est;Asie;436;206;262;243;174;704;852;1019;393;648;127;691
Qatar;Asie;28;118;197;26;58;322;379;119;48;24;11;170
Koweït;Asie;114;532;587;31;60;192;1679;1297;213;33;14;1642
Australie;Océanie;1072;760;932;658;440;1027;1914;1603;1771;1176;573;5311
Chine;Asie;331;273;382;328;280;435;886;544;479;580;319;1305
Hong Kong;Asie;105;132;252;273;183;392;574;486;483;555;350;1395
Indonésie;Asie;274;140;154;270;593;660;380;382;421;862;562;1536
Corée (Sud);Asie;139;120;215;271;749;1471;2216;2667;1559;1588;638;737
Malaisie;Asie;298;267;384;316;662;662;617;527;1253;1658;850;2864
Philippines;Asie;60;77;97;79;139;245;221;146;167;334;124;471
Nouvelle Zélande, Océanie;Océanie;112;67;54;50;39;106;160;154;146;84;23;334
Singapour;Asie;1169;894;1285;1406;1616;2427;1742;1032;1550;2269;1932;6942
Oman;Asie;21;0;16;0;13;16;99;22;16;6;10;20
Taïwan (Taipei chinois);Asie;42;47;49;266;107;347;418;546;628;597;338;1018
Thaïlande;Asie;579;649;949;2695;1467;1881;2237;1224;1456;4438;1340;2723
Autres Asie de l'Ouest;Asie;320;300;797;105;49;63;328;196;125;61;45;234
Estonie;Europe;195;194;407;68;16;76;176;104;31;9;11;108
Lettonie;Europe;159;179;240;82;36;62;87;149;79;63;31;187
Lituanie;Europe;522;250;367;135;18;44;161;203;45;39;22;239
Arabie saoudite;Asie;593;968;420;69;129;173;2055;1414;201;608;117;1638
Émirats arabes unis;Asie;633;1068;2328;511;396;471;2253;2774;367;1069;307;1927
Croatie;Europe;222;210;145;268;18;36;186;237;89;171;32;495
Roumanie;Europe;688;883;518;325;228;249;550;849;280;263;388;857
Russie;Europe;4214;1855;638;334;52;384;1039;1055;334;173;150;1972
Slovaquie;Europe;159;352;277;280;57;253;232;416;84;62;49;172
Slovénie;Europe;140;429;443;85;51;177;312;238;159;120;35;172
Tchéquie;Europe;420;561;894;651;174;506;3211;1597;945;244;116;689
Ukraine;Europe;1448;502;117;159;203;127;237;381;178;127;118;1014
Serbie;Europe;283;203;87;70;9;19;44;59;15;49;37;96
