moyen;motif;temps;intervalle
travail;mob_douce;2.75;0.92
travail;tim;11.46;1.47
travail;tp;1.31;0.47
travail;autres;0.34;0.37
formation;mob_douce;1.66;0.35
formation;tim;1.01;0.47
formation;tp;1.10;0.37
formation;autres;0.23;0.15
achats;mob_douce;2.34;0.45
achats;tim;7.62;0.95
achats;tp;0.73;0.32
achats;autres;0.13;0.15
loisirs;mob_douce;24.21;2.68
loisirs;tim;14.46;1.48
loisirs;tp;1.78;0.56
loisirs;autres;1.95;0.82
act_pro;mob_douce;0.12;0.09
act_pro;tim;1.32;0.53
act_pro;tp;0.39;0.55
act_pro;autres;0.00;0.00
services;mob_douce;0.40;0.18
services;tim;3.04;0.72
services;tp;0.04;0.06
services;autres;0.01;0.01
autres;mob_douce;0.19;0.11
autres;tim;0.69;0.34
autres;tp;0.43;0.37
autres;autres;0.06;0.07
